GUID	TYPE	NAME	Created_Date_Time	Created_By	LastUpdated_Date_Time	LastUpdated_By	Workflow_Status	Title	Description	RFC	Combatant_Command	Combatant_Command_Component	collectType	collectionTimeline	collectionStartDate	collectionStopDate	background	justification	summary	responsiblePointofContactId	groupId	TargetID	lon	lat	Priority	Classification	Releasability
39634258-acac-405f-9393-728f9b86c9b1	CR	CR1	2016-05-28T20:00:00Z	2	2016-05-30T03:00:00Z	59	REJECTED	dapibus purus taciti habitasse eget	Sit nisl fusce viverra mauris penatibus mi auctor phasellus nostra nam mi nibh. Netus pharetra mus enim nam nascetur consequat pulvinar justo nisl velit. Curae aliquam varius purus lacinia velit nostra nisi. Facilisis purus vulputate nisl eget venenatis metus platea posuere! Litora curabitur eros justo nibh taciti eros magna lectus? Leo cras quisque tempor fames netus bibendum auctor netus tempus duis phasellus orci non mauris at quisque sociosqu natoque massa pulvinar cubilia pretium fermentum ad primis bibendum curabitur sagittis orci cum mollis aenean aliquet sagittis porta taciti laoreet est luctus feugiat dictum suspendisse inceptos mi nibh ultricies potenti rhoncus pretium id nulla magnis euismod dictumst lacus commodo nisi dui nibh feugiat tellus porttitor sociosqu tempus habitasse dapibus congue porta hendrerit gravida.	b376d192-d3df-4c0e-b188-58bd0bbb8626	INDOPACOM	MARINES	Reconnaissance	UNKNOWN	2016-05-17T02:00:00Z	2016-06-04T02:00:00Z	Sit nisl fusce viverra mauris penatibus mi auctor phasellus nostra nam mi nibh. Netus pharetra mus enim nam nascetur consequat pulvinar justo nisl velit. Curae aliquam varius purus lacinia velit nostra nisi. Facilisis purus vulputate nisl eget venenatis metus platea posuere! Litora curabitur eros justo nibh taciti eros magna lectus? Leo cras quisque tempor fames netus bibendum auctor netus tempus duis phasellus orci non mauris at quisque sociosqu natoque massa pulvinar cubilia pretium fermentum ad primis bibendum curabitur sagittis orci cum mollis aenean aliquet sagittis porta taciti laoreet est luctus feugiat dictum suspendisse inceptos mi nibh ultricies potenti rhoncus pretium id nulla magnis euismod dictumst lacus commodo nisi dui nibh feugiat tellus porttitor sociosqu tempus habitasse dapibus congue porta hendrerit gravida.	Lorem mauris pulvinar magnis rhoncus imperdiet laoreet. Auctor pulvinar volutpat lectus ornare lacinia eros ante rhoncus viverra aliquet. Sem ullamcorper purus lobortis cras metus interdum habitasse donec penatibus eu mollis imperdiet massa blandit malesuada porttitor a curabitur fermentum praesent iaculis risus ut facilisi metus elementum velit auctor vehicula luctus etiam urna risus interdum condimentum pharetra natoque porttitor diam duis litora vitae faucibus!	Lorem mauris pulvinar magnis rhoncus imperdiet laoreet. Auctor pulvinar volutpat lectus ornare lacinia eros ante rhoncus viverra aliquet. Sem ullamcorper purus lobortis cras metus interdum habitasse donec penatibus eu mollis imperdiet massa blandit malesuada porttitor a curabitur fermentum praesent iaculis risus ut facilisi metus elementum velit auctor vehicula luctus etiam urna risus interdum condimentum pharetra natoque porttitor diam duis litora vitae faucibus!	35	1	BESJCWC5728U	-159.91825223048218	8.719485749443994	1	Sample S	// REL NATO
ca8a852e-2f88-4cf1-87dd-57f47882ab23	CR	CR2	2016-04-08T00:00:00Z	63	2016-04-09T07:00:00Z	40	DRAFT	venenatis eros leo tempor aptent	Sit consequat mattis semper non ullamcorper hendrerit egestas quisque cursus? Placerat tempor tellus sapien libero senectus viverra senectus sodales mauris dictum. Molestie potenti venenatis malesuada hendrerit dui cum interdum nibh tristique proin leo ante. Suscipit felis pellentesque vivamus dui a arcu ullamcorper montes nascetur. Aliquet penatibus curae ornare accumsan ante mauris posuere duis arcu commodo fusce iaculis porttitor dignissim faucibus pretium lectus ultrices enim felis conubia dictumst in velit ac iaculis cursus varius sed habitant pretium metus proin sapien facilisis porta placerat aliquet eros himenaeos volutpat tempor quam vitae dictum facilisis quis quisque rutrum dui bibendum sem parturient natoque iaculis ullamcorper.	850a37c5-a08b-4625-9856-5a3cb6f0a8a6	CENTCOM	SOF	Surveillance	UNKNOWN	2016-06-05T08:00:00Z	2016-06-21T08:00:00Z	Sit consequat mattis semper non ullamcorper hendrerit egestas quisque cursus? Placerat tempor tellus sapien libero senectus viverra senectus sodales mauris dictum. Molestie potenti venenatis malesuada hendrerit dui cum interdum nibh tristique proin leo ante. Suscipit felis pellentesque vivamus dui a arcu ullamcorper montes nascetur. Aliquet penatibus curae ornare accumsan ante mauris posuere duis arcu commodo fusce iaculis porttitor dignissim faucibus pretium lectus ultrices enim felis conubia dictumst in velit ac iaculis cursus varius sed habitant pretium metus proin sapien facilisis porta placerat aliquet eros himenaeos volutpat tempor quam vitae dictum facilisis quis quisque rutrum dui bibendum sem parturient natoque iaculis ullamcorper.	Sit aliquet orci faucibus pulvinar ante. Ultrices scelerisque luctus rhoncus sodales volutpat aliquam condimentum pretium vehicula. Ullamcorper tortor eu pharetra dapibus pretium dignissim vel et dictum. At vestibulum mus urna accumsan pharetra mus cras fringilla nam quisque. Taciti ullamcorper placerat velit dictumst nostra bibendum inceptos aliquet nascetur posuere tempor nostra volutpat rhoncus dictum hac neque scelerisque aptent tristique facilisi posuere netus venenatis rhoncus velit vitae sociis mi volutpat porttitor vitae cum tempor varius enim semper commodo sem malesuada nisl purus massa donec condimentum at litora faucibus potenti fusce vehicula magna?	Sit aliquet orci faucibus pulvinar ante. Ultrices scelerisque luctus rhoncus sodales volutpat aliquam condimentum pretium vehicula. Ullamcorper tortor eu pharetra dapibus pretium dignissim vel et dictum. At vestibulum mus urna accumsan pharetra mus cras fringilla nam quisque. Taciti ullamcorper placerat velit dictumst nostra bibendum inceptos aliquet nascetur posuere tempor nostra volutpat rhoncus dictum hac neque scelerisque aptent tristique facilisi posuere netus venenatis rhoncus velit vitae sociis mi volutpat porttitor vitae cum tempor varius enim semper commodo sem malesuada nisl purus massa donec condimentum at litora faucibus potenti fusce vehicula magna?	76	5	BETRKML8546L	61.82773891291581	32.585299144685266	10	Sample U	// REL FEYES
ef311abe-544c-489d-ba18-db160bc835b4	CR	CR3	2016-05-01T18:00:00Z	15	2016-05-03T01:00:00Z	21	APPROVED	mauris nostra litora arcu dictumst	Consectetur felis hendrerit feugiat proin integer nullam maecenas ligula non aliquam magnis lacus nec. Dictum facilisi parturient mauris nascetur neque viverra ridiculus egestas nostra nunc! Nam erat nec dignissim facilisis netus vulputate sapien sem risus nunc commodo orci. Faucibus ac nibh donec urna molestie torquent erat torquent ornare dictumst est aptent facilisi vel tempor tortor sollicitudin varius diam nibh pulvinar aenean porta consequat parturient proin libero aliquam tellus cursus varius tristique rhoncus lectus dui condimentum et volutpat velit vivamus sagittis.	4f3d29fb-406b-41bd-8f96-81643295d23f	CYBERCOM	MARINES	Surveillance	ROUTINE	2016-05-13T02:00:00Z	2016-06-07T02:00:00Z	Consectetur felis hendrerit feugiat proin integer nullam maecenas ligula non aliquam magnis lacus nec. Dictum facilisi parturient mauris nascetur neque viverra ridiculus egestas nostra nunc! Nam erat nec dignissim facilisis netus vulputate sapien sem risus nunc commodo orci. Faucibus ac nibh donec urna molestie torquent erat torquent ornare dictumst est aptent facilisi vel tempor tortor sollicitudin varius diam nibh pulvinar aenean porta consequat parturient proin libero aliquam tellus cursus varius tristique rhoncus lectus dui condimentum et volutpat velit vivamus sagittis.	Lorem neque massa aptent nostra bibendum ridiculus proin massa convallis magnis. Dis viverra faucibus condimentum morbi potenti posuere luctus tempus. Accumsan laoreet vivamus fusce nisl vel litora inceptos tristique cras. Himenaeos nascetur nisl tellus justo neque urna natoque ac viverra diam metus orci per facilisis tellus eleifend dictum augue scelerisque vitae proin mollis sollicitudin tortor id semper eget justo lacinia bibendum etiam faucibus etiam parturient taciti netus quis hac sollicitudin pellentesque taciti nascetur convallis torquent congue laoreet.	Lorem neque massa aptent nostra bibendum ridiculus proin massa convallis magnis. Dis viverra faucibus condimentum morbi potenti posuere luctus tempus. Accumsan laoreet vivamus fusce nisl vel litora inceptos tristique cras. Himenaeos nascetur nisl tellus justo neque urna natoque ac viverra diam metus orci per facilisis tellus eleifend dictum augue scelerisque vitae proin mollis sollicitudin tortor id semper eget justo lacinia bibendum etiam faucibus etiam parturient taciti netus quis hac sollicitudin pellentesque taciti nascetur convallis torquent congue laoreet.	58	6	BEYVNOR6775A	-129.0739377880469	-29.90603770953603	6	Sample U	// NOFORN
bba91745-f30f-45dd-ab1e-f8694eb70b20	CR	CR4	2016-04-07T19:00:00Z	78	2016-04-09T02:00:00Z	40	APPROVED	nam tempus nisl semper egestas	Adipiscing cras cursus orci euismod semper parturient nisl posuere magnis fames. Justo lobortis sociis gravida fusce tempus neque iaculis! Felis rutrum nascetur nullam hac pulvinar posuere mollis. Dis gravida torquent vulputate imperdiet at praesent litora ante. Nec blandit volutpat dis lectus orci lacus hac nascetur enim netus sollicitudin semper odio urna purus diam sapien auctor ut tempor conubia tristique auctor torquent nostra nibh orci massa placerat aliquet facilisis himenaeos sem semper imperdiet enim feugiat condimentum orci mollis sagittis himenaeos penatibus mattis ridiculus cubilia placerat orci auctor.	3e7f1019-4b16-409d-a84c-f11d399aa643	AFRICOM	SPACE	Reconnaissance	ROUTINE	2016-04-23T21:00:00Z	2016-05-16T21:00:00Z	Adipiscing cras cursus orci euismod semper parturient nisl posuere magnis fames. Justo lobortis sociis gravida fusce tempus neque iaculis! Felis rutrum nascetur nullam hac pulvinar posuere mollis. Dis gravida torquent vulputate imperdiet at praesent litora ante. Nec blandit volutpat dis lectus orci lacus hac nascetur enim netus sollicitudin semper odio urna purus diam sapien auctor ut tempor conubia tristique auctor torquent nostra nibh orci massa placerat aliquet facilisis himenaeos sem semper imperdiet enim feugiat condimentum orci mollis sagittis himenaeos penatibus mattis ridiculus cubilia placerat orci auctor.	Sit pharetra integer gravida dapibus orci primis morbi habitasse eleifend nam penatibus proin pharetra netus sociosqu torquent netus odio pharetra magna etiam.	Sit pharetra integer gravida dapibus orci primis morbi habitasse eleifend nam penatibus proin pharetra netus sociosqu torquent netus odio pharetra magna etiam.	70	4	BEOQROE6784T	2.6501180889550597	2.524845997057855	10	Sample U	// NOFORN
b23c122b-6b8c-47ba-ab87-2641499a6fca	CR	CR5	2016-05-23T15:00:00Z	8	2016-05-24T22:00:00Z	32	PAUSED	ut iaculis quis maecenas cum	Ipsum non accumsan parturient purus id inceptos pulvinar nostra velit curabitur duis. Enim ligula tristique sapien elementum consequat. Ullamcorper aptent ullamcorper facilisis scelerisque semper convallis ultrices tempor aliquet. Montes velit suspendisse vitae mi senectus facilisis sociosqu odio fames torquent molestie nullam urna felis nullam leo ullamcorper quisque lacinia blandit ridiculus netus conubia nibh ac ante nisi fusce maecenas pharetra commodo gravida suspendisse ultrices lacus tristique taciti ut cubilia dictum fames mi ultricies dis!	34a0390c-4d8c-4f71-899b-1f9bf6106221	SOUTHCOM	SPACE	Surveillance	ROUTINE	2016-04-25T19:00:00Z	2016-05-15T19:00:00Z	Ipsum non accumsan parturient purus id inceptos pulvinar nostra velit curabitur duis. Enim ligula tristique sapien elementum consequat. Ullamcorper aptent ullamcorper facilisis scelerisque semper convallis ultrices tempor aliquet. Montes velit suspendisse vitae mi senectus facilisis sociosqu odio fames torquent molestie nullam urna felis nullam leo ullamcorper quisque lacinia blandit ridiculus netus conubia nibh ac ante nisi fusce maecenas pharetra commodo gravida suspendisse ultrices lacus tristique taciti ut cubilia dictum fames mi ultricies dis!	Lorem potenti taciti elementum luctus praesent. Sociosqu vel dictumst cubilia dui malesuada pretium maecenas gravida volutpat mauris. Vehicula primis malesuada porta convallis auctor fermentum nam velit. Sem lobortis blandit eros cras nostra quam in ridiculus sed. Platea torquent molestie conubia senectus. Cursus rhoncus proin fringilla taciti non montes ornare metus mus magna iaculis euismod id cursus vel sapien ornare feugiat ligula cubilia mauris habitasse dignissim mi urna tincidunt etiam condimentum ultrices nostra quam nec porta netus id proin platea sed odio vitae nulla arcu fames mattis inceptos ornare massa bibendum mollis consequat sociis primis natoque platea tincidunt aliquet tincidunt libero sagittis aptent cursus torquent metus curae lacinia et ac iaculis etiam erat sociis sem nam porta pretium inceptos porttitor sem habitant sagittis dapibus.	Lorem potenti taciti elementum luctus praesent. Sociosqu vel dictumst cubilia dui malesuada pretium maecenas gravida volutpat mauris. Vehicula primis malesuada porta convallis auctor fermentum nam velit. Sem lobortis blandit eros cras nostra quam in ridiculus sed. Platea torquent molestie conubia senectus. Cursus rhoncus proin fringilla taciti non montes ornare metus mus magna iaculis euismod id cursus vel sapien ornare feugiat ligula cubilia mauris habitasse dignissim mi urna tincidunt etiam condimentum ultrices nostra quam nec porta netus id proin platea sed odio vitae nulla arcu fames mattis inceptos ornare massa bibendum mollis consequat sociis primis natoque platea tincidunt aliquet tincidunt libero sagittis aptent cursus torquent metus curae lacinia et ac iaculis etiam erat sociis sem nam porta pretium inceptos porttitor sem habitant sagittis dapibus.	58	5	BEKJOWO8430D	-56.89730713120662	-9.868380966968834	2	Sample TS	//
2b8d1235-65f3-44d8-904c-cc325aa86ad7	CR	CR6	2016-05-30T07:00:00Z	72	2016-05-31T14:00:00Z	42	REJECTED	vulputate orci duis molestie ornare	Elit platea magna dis tristique faucibus parturient platea porttitor. Condimentum est egestas est ligula eu parturient feugiat fringilla habitant. At eros curae rutrum consequat posuere accumsan consequat eu conubia! Vel mauris risus lacinia imperdiet arcu magna integer hendrerit ridiculus aliquam sollicitudin in sapien sem hac donec metus turpis tempus tortor lacinia egestas varius porttitor accumsan tempus malesuada dis commodo posuere himenaeos suspendisse praesent elementum mi cum vivamus semper neque suspendisse ad sed elementum mauris in purus feugiat tempus pharetra purus blandit pellentesque urna duis dis enim imperdiet inceptos feugiat nam duis praesent.	7e775cb5-41f6-4803-8e83-862bb9f39d8b	CENTCOM	ARMY	Reconnaissance	ROUTINE	2016-04-23T09:00:00Z	2016-05-14T09:00:00Z	Elit platea magna dis tristique faucibus parturient platea porttitor. Condimentum est egestas est ligula eu parturient feugiat fringilla habitant. At eros curae rutrum consequat posuere accumsan consequat eu conubia! Vel mauris risus lacinia imperdiet arcu magna integer hendrerit ridiculus aliquam sollicitudin in sapien sem hac donec metus turpis tempus tortor lacinia egestas varius porttitor accumsan tempus malesuada dis commodo posuere himenaeos suspendisse praesent elementum mi cum vivamus semper neque suspendisse ad sed elementum mauris in purus feugiat tempus pharetra purus blandit pellentesque urna duis dis enim imperdiet inceptos feugiat nam duis praesent.	Lorem accumsan cum egestas faucibus curabitur sed aliquet posuere sollicitudin diam cubilia vel dictum tellus! Non pharetra tempus erat senectus ante mollis vivamus auctor. Proin mus lacus commodo suscipit aptent porta phasellus at sociosqu mauris neque! Curae montes eros mollis gravida facilisis erat arcu in curae sagittis phasellus. Porta interdum nisi ultrices nisl malesuada eu fames nec. Euismod sapien platea condimentum nunc pellentesque quisque condimentum eleifend fringilla. Faucibus fusce scelerisque lectus suspendisse rutrum iaculis suscipit tortor quam praesent facilisi libero fames augue quisque massa nam accumsan magna ut congue dictumst montes natoque lacus commodo a enim diam varius natoque lectus vitae eros turpis iaculis odio urna egestas pulvinar lectus odio dapibus dapibus leo dapibus semper eleifend torquent dictumst dignissim primis habitasse purus eros venenatis magnis interdum felis tristique inceptos leo sollicitudin dui metus morbi nulla justo?	Lorem accumsan cum egestas faucibus curabitur sed aliquet posuere sollicitudin diam cubilia vel dictum tellus! Non pharetra tempus erat senectus ante mollis vivamus auctor. Proin mus lacus commodo suscipit aptent porta phasellus at sociosqu mauris neque! Curae montes eros mollis gravida facilisis erat arcu in curae sagittis phasellus. Porta interdum nisi ultrices nisl malesuada eu fames nec. Euismod sapien platea condimentum nunc pellentesque quisque condimentum eleifend fringilla. Faucibus fusce scelerisque lectus suspendisse rutrum iaculis suscipit tortor quam praesent facilisi libero fames augue quisque massa nam accumsan magna ut congue dictumst montes natoque lacus commodo a enim diam varius natoque lectus vitae eros turpis iaculis odio urna egestas pulvinar lectus odio dapibus dapibus leo dapibus semper eleifend torquent dictumst dignissim primis habitasse purus eros venenatis magnis interdum felis tristique inceptos leo sollicitudin dui metus morbi nulla justo?	61	1	BEPVDPN4116J	67.22867659246549	35.62146760071628	3	Sample U	// REL FEYES
c9c2316f-a1f6-4dc1-8758-8841a53478d1	CR	CR7	2016-04-30T12:00:00Z	64	2016-05-01T19:00:00Z	56	DRAFT	nec mus cras at sodales	Ipsum eu vestibulum non neque tempus turpis feugiat per cubilia aliquet volutpat. Egestas convallis nascetur vivamus justo litora class dui ullamcorper quisque lectus. Ac at tristique litora sagittis sociis conubia libero malesuada aliquet turpis aenean sapien dapibus massa ac torquent iaculis massa ante tellus hendrerit elementum urna velit purus dui odio non mi molestie aliquet volutpat eleifend natoque eu morbi sociosqu lacus morbi.	e0572f1a-426c-4873-a7ae-68662bfea113	STRATCOM	SPACE	Surveillance	UNKNOWN	2016-06-18T13:00:00Z	2016-07-12T13:00:00Z	Ipsum eu vestibulum non neque tempus turpis feugiat per cubilia aliquet volutpat. Egestas convallis nascetur vivamus justo litora class dui ullamcorper quisque lectus. Ac at tristique litora sagittis sociis conubia libero malesuada aliquet turpis aenean sapien dapibus massa ac torquent iaculis massa ante tellus hendrerit elementum urna velit purus dui odio non mi molestie aliquet volutpat eleifend natoque eu morbi sociosqu lacus morbi.	Amet sapien ac pulvinar euismod cum posuere nulla aenean cursus facilisis! Conubia egestas sem proin aenean rhoncus mus ornare facilisi ultricies semper et. Torquent viverra at nunc condimentum congue varius lacus fusce luctus elementum. Egestas commodo aenean aliquet etiam luctus primis parturient. Quisque etiam ornare netus magna fames pretium eu sociis nisi dui molestie platea tempus purus class scelerisque facilisi phasellus dictum lobortis eu urna arcu varius sapien suscipit potenti volutpat ante malesuada eget imperdiet nunc est vehicula consequat vulputate litora in hendrerit varius vestibulum maecenas tortor placerat interdum et diam tristique vulputate ultricies sollicitudin mollis penatibus luctus quam libero tempor dictum fringilla praesent dignissim at consequat blandit lectus sapien aptent litora ultrices.	Amet sapien ac pulvinar euismod cum posuere nulla aenean cursus facilisis! Conubia egestas sem proin aenean rhoncus mus ornare facilisi ultricies semper et. Torquent viverra at nunc condimentum congue varius lacus fusce luctus elementum. Egestas commodo aenean aliquet etiam luctus primis parturient. Quisque etiam ornare netus magna fames pretium eu sociis nisi dui molestie platea tempus purus class scelerisque facilisi phasellus dictum lobortis eu urna arcu varius sapien suscipit potenti volutpat ante malesuada eget imperdiet nunc est vehicula consequat vulputate litora in hendrerit varius vestibulum maecenas tortor placerat interdum et diam tristique vulputate ultricies sollicitudin mollis penatibus luctus quam libero tempor dictum fringilla praesent dignissim at consequat blandit lectus sapien aptent litora ultrices.	29	1	BEZNRFL0787E	-21.230509937787428	29.424995116190985	10	Sample TS	// REL NATO
bc18cbf8-04bf-4d43-a1d7-c7b79ae34b36	CR	CR8	2016-03-30T16:00:00Z	24	2016-03-31T23:00:00Z	76	PENDING	vehicula vestibulum purus ligula aliquet	Elit sapien morbi parturient sem cras accumsan nullam magnis semper? Proin aenean curabitur cum ullamcorper primis consequat. Sollicitudin volutpat varius morbi lectus tristique cursus egestas mauris turpis tincidunt tristique semper aliquet metus justo suscipit tristique tempus penatibus rutrum sodales sociosqu elementum nullam quis nibh mus blandit quam ornare nullam ut iaculis tempus dictumst blandit placerat inceptos suscipit blandit ac neque mauris cum.	28243cd4-339f-48fc-9f7a-9f689fd2c67c	SOCOM	AF	MTI	UNKNOWN	2016-04-19T16:00:00Z	2016-05-16T16:00:00Z	Elit sapien morbi parturient sem cras accumsan nullam magnis semper? Proin aenean curabitur cum ullamcorper primis consequat. Sollicitudin volutpat varius morbi lectus tristique cursus egestas mauris turpis tincidunt tristique semper aliquet metus justo suscipit tristique tempus penatibus rutrum sodales sociosqu elementum nullam quis nibh mus blandit quam ornare nullam ut iaculis tempus dictumst blandit placerat inceptos suscipit blandit ac neque mauris cum.	Adipiscing vivamus nascetur ut cras integer commodo feugiat risus est penatibus! Lobortis aliquet ultrices nibh fringilla fringilla. Posuere purus venenatis habitant id ornare faucibus suscipit est felis facilisis iaculis aptent! Quis auctor purus lectus porta aliquam praesent euismod ut montes mattis magna placerat dignissim ante pellentesque magnis orci mattis viverra iaculis auctor gravida vitae diam nibh euismod senectus ornare tristique odio tristique augue velit massa quisque parturient sed placerat nulla turpis a ridiculus conubia proin interdum a curabitur conubia taciti dis neque hac purus eleifend arcu.	Adipiscing vivamus nascetur ut cras integer commodo feugiat risus est penatibus! Lobortis aliquet ultrices nibh fringilla fringilla. Posuere purus venenatis habitant id ornare faucibus suscipit est felis facilisis iaculis aptent! Quis auctor purus lectus porta aliquam praesent euismod ut montes mattis magna placerat dignissim ante pellentesque magnis orci mattis viverra iaculis auctor gravida vitae diam nibh euismod senectus ornare tristique odio tristique augue velit massa quisque parturient sed placerat nulla turpis a ridiculus conubia proin interdum a curabitur conubia taciti dis neque hac purus eleifend arcu.	44	2	BENMYTX6103N	-153.17818454611114	1.4282281069550664	6	Sample TS	//
d792d463-12c0-4fb7-b709-a76b12540f21	CR	CR9	2016-04-23T15:00:00Z	85	2016-04-24T22:00:00Z	18	DRAFT	aliquet inceptos neque et ante	Elit platea tincidunt curae lacinia natoque nisl porttitor porta egestas. Tempus aptent ultrices malesuada id leo per mattis aliquam et iaculis. Fringilla bibendum volutpat aptent iaculis sapien facilisi vivamus interdum facilisis pellentesque semper facilisis donec diam libero a tempus viverra cubilia morbi sociosqu per porttitor euismod fringilla porta tristique sociosqu praesent curae quisque facilisi aliquet ultrices vulputate a praesent aptent integer at pulvinar penatibus sollicitudin nibh!	5cec386b-1013-495d-ad23-6de3ced454c0	INDOPACOM	SPACE	Reconnaissance	IMMEDIATE	2016-04-21T14:00:00Z	2016-05-08T14:00:00Z	Elit platea tincidunt curae lacinia natoque nisl porttitor porta egestas. Tempus aptent ultrices malesuada id leo per mattis aliquam et iaculis. Fringilla bibendum volutpat aptent iaculis sapien facilisi vivamus interdum facilisis pellentesque semper facilisis donec diam libero a tempus viverra cubilia morbi sociosqu per porttitor euismod fringilla porta tristique sociosqu praesent curae quisque facilisi aliquet ultrices vulputate a praesent aptent integer at pulvinar penatibus sollicitudin nibh!	Lorem nisl elementum dictum. Ornare congue et torquent tellus primis dictum arcu habitant fames aliquet. Velit mollis tellus aptent proin sollicitudin convallis luctus ullamcorper venenatis. Velit facilisis malesuada ridiculus felis dui litora vitae felis. Bibendum ante curae purus penatibus mus nam fusce. Per proin facilisis vulputate imperdiet sociosqu morbi nam nisl massa! Dis facilisi morbi fringilla ullamcorper phasellus consequat mollis malesuada erat conubia egestas himenaeos at ligula velit inceptos vivamus vestibulum urna elementum ligula etiam fusce sapien aliquam metus penatibus nullam integer integer lobortis fames habitasse pellentesque accumsan nascetur ut ultricies imperdiet mus massa tortor montes donec venenatis aenean leo vel vestibulum aliquet quis praesent duis tempus lobortis nostra magna eleifend sociis odio tortor praesent sociosqu metus massa curae laoreet nisl mus curabitur condimentum mauris laoreet enim urna metus quisque aliquet ligula inceptos fringilla et rhoncus quam lectus sociis sociis condimentum hac nullam facilisis euismod feugiat class molestie torquent sem.	Lorem nisl elementum dictum. Ornare congue et torquent tellus primis dictum arcu habitant fames aliquet. Velit mollis tellus aptent proin sollicitudin convallis luctus ullamcorper venenatis. Velit facilisis malesuada ridiculus felis dui litora vitae felis. Bibendum ante curae purus penatibus mus nam fusce. Per proin facilisis vulputate imperdiet sociosqu morbi nam nisl massa! Dis facilisi morbi fringilla ullamcorper phasellus consequat mollis malesuada erat conubia egestas himenaeos at ligula velit inceptos vivamus vestibulum urna elementum ligula etiam fusce sapien aliquam metus penatibus nullam integer integer lobortis fames habitasse pellentesque accumsan nascetur ut ultricies imperdiet mus massa tortor montes donec venenatis aenean leo vel vestibulum aliquet quis praesent duis tempus lobortis nostra magna eleifend sociis odio tortor praesent sociosqu metus massa curae laoreet nisl mus curabitur condimentum mauris laoreet enim urna metus quisque aliquet ligula inceptos fringilla et rhoncus quam lectus sociis sociis condimentum hac nullam facilisis euismod feugiat class molestie torquent sem.	61	5	BEGLLNI2853X	-159.44838539892808	-64.64340140745044	2	Sample TS	//
22af28a2-6064-44c8-89db-ec2875b6f405	CR	CR10	2016-03-23T09:00:00Z	8	2016-03-24T16:00:00Z	37	APPROVED	aliquam venenatis a magna justo	Ipsum cursus fermentum habitant ullamcorper habitasse fermentum montes libero. Ridiculus sociis cras tristique suspendisse sodales dui fringilla velit eu metus aliquam ultricies urna mauris condimentum nam pretium lacus vitae luctus class ad inceptos torquent platea iaculis phasellus tempus justo aliquam magna auctor eget cras.	b2e389a0-192d-438e-ab5c-bf60c56969b0	STRATCOM	ARMY	Reconnaissance	IMMEDIATE	2016-05-31T03:00:00Z	2016-06-15T03:00:00Z	Ipsum cursus fermentum habitant ullamcorper habitasse fermentum montes libero. Ridiculus sociis cras tristique suspendisse sodales dui fringilla velit eu metus aliquam ultricies urna mauris condimentum nam pretium lacus vitae luctus class ad inceptos torquent platea iaculis phasellus tempus justo aliquam magna auctor eget cras.	Lorem ultricies nec ridiculus dapibus mattis arcu fermentum gravida nisi taciti taciti. Tellus magnis dictum eget magna enim eget volutpat conubia! Quam ultricies fusce vestibulum tincidunt nunc sollicitudin cum neque torquent orci parturient. Tempor erat viverra nunc malesuada scelerisque facilisis venenatis maecenas ligula. In praesent praesent volutpat donec suspendisse lacinia mauris leo gravida habitasse nibh netus maecenas aptent malesuada et elementum duis mollis interdum consequat sollicitudin netus eros mi ac quis eros proin suscipit libero interdum purus suscipit scelerisque taciti quam tristique arcu ac pellentesque dictumst auctor arcu mollis sollicitudin ut fames ac dis consequat cum cursus ligula sem mollis sollicitudin ante habitasse ultrices rutrum.	Lorem ultricies nec ridiculus dapibus mattis arcu fermentum gravida nisi taciti taciti. Tellus magnis dictum eget magna enim eget volutpat conubia! Quam ultricies fusce vestibulum tincidunt nunc sollicitudin cum neque torquent orci parturient. Tempor erat viverra nunc malesuada scelerisque facilisis venenatis maecenas ligula. In praesent praesent volutpat donec suspendisse lacinia mauris leo gravida habitasse nibh netus maecenas aptent malesuada et elementum duis mollis interdum consequat sollicitudin netus eros mi ac quis eros proin suscipit libero interdum purus suscipit scelerisque taciti quam tristique arcu ac pellentesque dictumst auctor arcu mollis sollicitudin ut fames ac dis consequat cum cursus ligula sem mollis sollicitudin ante habitasse ultrices rutrum.	87	5	BERRFLO7190A	-111.66729788905941	41.47838067761622	4	Sample S	// NOFORN
