"GUID";"Created_Date_Time";"Created_By";"LastUpdated_Date_Time";"LastUpdated_By";"Workflow_Status";"Title";"Description";"RFC";"Combatant_Command";"Combatant_Command_Component";"collectType";"collectionTimeline";"collectionStartDate";"collectionStopDate";"background";"justification";"summary";"responsiblePointofContactId";"groupId";"TargetID";"lon";"lat";"Priority";"Classification";"Releasability"
"b500c471-7065-425b-b0cd-5ef6f2883cf0";"2016-03-30 01:00:00.000000";76;"2016-03-31 23:00:00.000000";15;"APPROVED";"tempus fames neque facilisis potenti";"Ipsum diam quam volutpat placerat in tincidunt dis risus tempor. Dictum pharetra purus et congue nostra cum pharetra ultrices tempor. Taciti malesuada conubia quam ullamcorper nostra eu suscipit. Posuere arcu lacinia leo tempor augue suspendisse inceptos euismod? Bibendum phasellus auctor duis sociosqu tempor imperdiet. Pretium bibendum diam ullamcorper lacus per habitant facilisis proin maecenas est imperdiet penatibus dis pulvinar tempus hendrerit fringilla non malesuada magna ad eleifend eget quam feugiat vehicula duis ridiculus est lectus libero dignissim magna venenatis neque congue duis massa sociis commodo congue sollicitudin hac rhoncus aenean volutpat mus tortor dignissim lacinia rhoncus dapibus curabitur fames massa rhoncus nullam porttitor erat morbi suspendisse pharetra natoque cubilia lectus convallis elementum augue volutpat faucibus scelerisque ut bibendum habitasse montes aenean pretium laoreet sapien nunc?";"bede2725-6419-4ac1-8305-cee6a8317d9e";"CENTCOM";"MARINES";"Reconnaissance";"UNKNOWN";"2016-03-20 21:00:00.000000";"2016-07-02 21:00:00.000000";"Ipsum diam quam volutpat placerat in tincidunt dis risus tempor. Dictum pharetra purus et congue nostra cum pharetra ultrices tempor. Taciti malesuada conubia quam ullamcorper nostra eu suscipit. Posuere arcu lacinia leo tempor augue suspendisse inceptos euismod? Bibendum phasellus auctor duis sociosqu tempor imperdiet. Pretium bibendum diam ullamcorper lacus per habitant facilisis proin maecenas est imperdiet penatibus dis pulvinar tempus hendrerit fringilla non malesuada magna ad eleifend eget quam feugiat vehicula duis ridiculus est lectus libero dignissim magna venenatis neque congue duis massa sociis commodo congue sollicitudin hac rhoncus aenean volutpat mus tortor dignissim lacinia rhoncus dapibus curabitur fames massa rhoncus nullam porttitor erat morbi suspendisse pharetra natoque cubilia lectus convallis elementum augue volutpat faucibus scelerisque ut bibendum habitasse montes aenean pretium laoreet sapien nunc?";"Dolor quis ac nullam nibh et class molestie? Varius cursus duis venenatis congue sociosqu ullamcorper penatibus odio venenatis. Malesuada tortor venenatis mollis cras volutpat hendrerit montes suscipit parturient lectus litora pharetra et nunc sed interdum dui mollis pharetra viverra hendrerit cursus turpis libero consequat libero velit nam integer mi nisl interdum euismod suscipit dapibus senectus lacinia iaculis non semper habitant nibh rhoncus euismod praesent.";"Dolor quis ac nullam nibh et class molestie? Varius cursus duis venenatis congue sociosqu ullamcorper penatibus odio venenatis. Malesuada tortor venenatis mollis cras volutpat hendrerit montes suscipit parturient lectus litora pharetra et nunc sed interdum dui mollis pharetra viverra hendrerit cursus turpis libero consequat libero velit nam integer mi nisl interdum euismod suscipit dapibus senectus lacinia iaculis non semper habitant nibh rhoncus euismod praesent.";43;4;"BEQQEMX3674H";-139.5987779202871;32.91689621596597;3.0;"Sample TS";"// REL ROK"
"b378bcaa-0e6e-4805-8335-8d3521bd4d55";"2016-05-02 14:00:00.000000";24;"2016-05-04 12:00:00.000000";82;"PENDING";"dapibus ultricies aliquam habitant felis";"Dolor dignissim inceptos tellus felis aenean cursus laoreet. Suscipit est integer ante viverra sociis ac. Mattis orci dui lacus magnis enim lacus aliquet inceptos nunc? Gravida nisl a congue sapien proin habitasse cras etiam viverra. Pharetra turpis inceptos etiam malesuada montes rutrum turpis fermentum tempus massa nec mauris pharetra auctor senectus magnis commodo dictumst ornare eu nulla ornare tempus ornare tincidunt sociis mi ullamcorper tellus fringilla himenaeos ultricies erat lacinia varius dictumst nisl fusce est curabitur potenti fringilla sed per ac ornare hendrerit venenatis scelerisque morbi mi ridiculus sagittis pretium mauris lacinia blandit mi fames tincidunt mi.";"7f3f2870-627d-4615-995f-f673cb49bc17";"TRANSCOM";"MARINES";"Reconnaissance";"ROUTINE";"2016-05-30 17:00:00.000000";"2016-09-11 17:00:00.000000";"Dolor dignissim inceptos tellus felis aenean cursus laoreet. Suscipit est integer ante viverra sociis ac. Mattis orci dui lacus magnis enim lacus aliquet inceptos nunc? Gravida nisl a congue sapien proin habitasse cras etiam viverra. Pharetra turpis inceptos etiam malesuada montes rutrum turpis fermentum tempus massa nec mauris pharetra auctor senectus magnis commodo dictumst ornare eu nulla ornare tempus ornare tincidunt sociis mi ullamcorper tellus fringilla himenaeos ultricies erat lacinia varius dictumst nisl fusce est curabitur potenti fringilla sed per ac ornare hendrerit venenatis scelerisque morbi mi ridiculus sagittis pretium mauris lacinia blandit mi fames tincidunt mi.";"Adipiscing vestibulum rutrum neque pretium aptent eros venenatis leo etiam! Conubia at pretium interdum curabitur viverra consequat feugiat consequat venenatis turpis nec porta? Congue curabitur dictum nulla sagittis class nisi fringilla nec magnis laoreet. Habitant dis dapibus in enim nibh facilisi rhoncus vulputate! Molestie arcu lacus vulputate lacus malesuada feugiat habitasse fermentum euismod justo. Rhoncus lacus urna venenatis tempor tellus molestie cursus erat cum semper nibh ante vestibulum dis aenean sed donec neque ligula faucibus molestie lacus gravida phasellus facilisi commodo turpis vel arcu porta tortor diam eleifend ridiculus vestibulum mollis congue molestie condimentum diam ut praesent ad netus parturient nisi ultrices nec phasellus etiam sollicitudin posuere suscipit mollis.";"Adipiscing vestibulum rutrum neque pretium aptent eros venenatis leo etiam! Conubia at pretium interdum curabitur viverra consequat feugiat consequat venenatis turpis nec porta? Congue curabitur dictum nulla sagittis class nisi fringilla nec magnis laoreet. Habitant dis dapibus in enim nibh facilisi rhoncus vulputate! Molestie arcu lacus vulputate lacus malesuada feugiat habitasse fermentum euismod justo. Rhoncus lacus urna venenatis tempor tellus molestie cursus erat cum semper nibh ante vestibulum dis aenean sed donec neque ligula faucibus molestie lacus gravida phasellus facilisi commodo turpis vel arcu porta tortor diam eleifend ridiculus vestibulum mollis congue molestie condimentum diam ut praesent ad netus parturient nisi ultrices nec phasellus etiam sollicitudin posuere suscipit mollis.";90;4;"BEPJAET4087T";-122.00437684953212;30.63232830646448;9.0;"Sample TS";"// REL NATO"
"442d184a-ef28-4f3b-9410-32c50198ec48";"2016-03-17 03:00:00.000000";5;"2016-03-19 01:00:00.000000";89;"PENDING";"nullam sociis facilisi morbi praesent";"Lorem iaculis ridiculus per risus tortor ad nam leo molestie. Vivamus sapien ultrices quam auctor non tellus habitasse lacus ligula est massa justo dui platea fames vivamus felis sodales iaculis quis nibh inceptos imperdiet imperdiet penatibus vulputate ante.";"a4648ef2-d81f-4229-962a-0b64757ada98";"EUCOM";"NAVY";"MTI";"IMMEDIATE";"2016-04-27 19:00:00.000000";"2016-08-09 19:00:00.000000";"Lorem iaculis ridiculus per risus tortor ad nam leo molestie. Vivamus sapien ultrices quam auctor non tellus habitasse lacus ligula est massa justo dui platea fames vivamus felis sodales iaculis quis nibh inceptos imperdiet imperdiet penatibus vulputate ante.";"Adipiscing vitae fusce porttitor purus gravida luctus sem enim volutpat. Metus nibh enim mattis commodo varius aliquam. Odio integer et eleifend nostra euismod lacinia etiam vivamus sociis neque pulvinar erat nostra metus senectus dui suscipit porttitor eros ultrices tortor scelerisque pulvinar euismod facilisi sollicitudin laoreet justo ac malesuada libero nibh at vehicula hendrerit donec sociis ornare nostra litora nec.";"Adipiscing vitae fusce porttitor purus gravida luctus sem enim volutpat. Metus nibh enim mattis commodo varius aliquam. Odio integer et eleifend nostra euismod lacinia etiam vivamus sociis neque pulvinar erat nostra metus senectus dui suscipit porttitor eros ultrices tortor scelerisque pulvinar euismod facilisi sollicitudin laoreet justo ac malesuada libero nibh at vehicula hendrerit donec sociis ornare nostra litora nec.";24;3;"BELKNKC1743K";-137.7363209187519;31.37600496946834;10.0;"Sample U";"// REL ROK"
"c2db1ae5-6cdd-4204-b95e-f870883c1d96";"2016-05-30 07:00:00.000000";29;"2016-06-01 05:00:00.000000";55;"PENDING";"dapibus quis class ornare at";"Sit vitae quis neque fames praesent egestas lacinia praesent mollis tellus ultrices. Faucibus himenaeos curabitur vitae quisque hac vestibulum vitae luctus ridiculus nisi auctor vehicula vivamus blandit id platea cursus quisque pharetra cubilia montes platea ultricies.";"eb92d410-4100-412b-a946-192b3418ed93";"EUCOM";"SPACE";"MTI";"IMMEDIATE";"2016-03-19 15:00:00.000000";"2016-07-01 15:00:00.000000";"Sit vitae quis neque fames praesent egestas lacinia praesent mollis tellus ultrices. Faucibus himenaeos curabitur vitae quisque hac vestibulum vitae luctus ridiculus nisi auctor vehicula vivamus blandit id platea cursus quisque pharetra cubilia montes platea ultricies.";"Dolor ridiculus varius venenatis sapien suscipit luctus penatibus. Tortor malesuada justo sed luctus et placerat? Sagittis integer nam urna netus parturient nam placerat lobortis erat. Faucibus vivamus integer rutrum viverra commodo quisque himenaeos phasellus bibendum taciti faucibus ad inceptos senectus hendrerit faucibus ante montes per curabitur dapibus et pulvinar nunc sagittis mattis orci egestas dictumst eget aenean gravida sollicitudin inceptos scelerisque curae nam penatibus sapien tempor eu leo netus netus ultrices nec feugiat suspendisse sociis posuere vestibulum rutrum habitant ante est ad.";"Dolor ridiculus varius venenatis sapien suscipit luctus penatibus. Tortor malesuada justo sed luctus et placerat? Sagittis integer nam urna netus parturient nam placerat lobortis erat. Faucibus vivamus integer rutrum viverra commodo quisque himenaeos phasellus bibendum taciti faucibus ad inceptos senectus hendrerit faucibus ante montes per curabitur dapibus et pulvinar nunc sagittis mattis orci egestas dictumst eget aenean gravida sollicitudin inceptos scelerisque curae nam penatibus sapien tempor eu leo netus netus ultrices nec feugiat suspendisse sociis posuere vestibulum rutrum habitant ante est ad.";40;2;"BEYUONY5991M";-138.60634486190975;36.51635836674832;8.0;"Sample S";"// NOFORN"
"ef3a0483-e06b-4f64-9283-af2fefa36051";"2016-05-10 07:00:00.000000";10;"2016-05-12 05:00:00.000000";41;"PAUSED";"auctor nam erat vivamus torquent";"Sit risus vehicula ullamcorper praesent vel sociis sed. Feugiat sagittis hendrerit magna eget suspendisse tempor conubia maecenas ad sociis lacinia est! Molestie porttitor sagittis nunc arcu nullam interdum aptent bibendum maecenas. Ornare eleifend nibh viverra conubia duis venenatis pulvinar semper sociosqu molestie. Praesent dis lacinia habitasse metus commodo non luctus platea porta hac porttitor sociosqu. Justo ante ut pharetra rutrum volutpat montes odio ridiculus habitasse conubia sagittis imperdiet purus imperdiet nam odio est curabitur ultrices vulputate natoque vivamus quis tellus cubilia eget vulputate porta himenaeos dictum neque venenatis libero risus hac molestie fringilla feugiat fermentum semper convallis ultrices ridiculus interdum sociis libero imperdiet arcu imperdiet luctus dictumst duis mattis penatibus cum magnis velit ad hac hendrerit suscipit sodales rutrum velit sagittis elementum lacinia neque blandit nisi luctus.";"a9511d52-aee5-4c5e-b6d9-ac996c0cfc08";"AFRICOM";"SPACE";"Surveillance";"IMMEDIATE";"2016-06-04 12:00:00.000000";"2016-09-16 12:00:00.000000";"Sit risus vehicula ullamcorper praesent vel sociis sed. Feugiat sagittis hendrerit magna eget suspendisse tempor conubia maecenas ad sociis lacinia est! Molestie porttitor sagittis nunc arcu nullam interdum aptent bibendum maecenas. Ornare eleifend nibh viverra conubia duis venenatis pulvinar semper sociosqu molestie. Praesent dis lacinia habitasse metus commodo non luctus platea porta hac porttitor sociosqu. Justo ante ut pharetra rutrum volutpat montes odio ridiculus habitasse conubia sagittis imperdiet purus imperdiet nam odio est curabitur ultrices vulputate natoque vivamus quis tellus cubilia eget vulputate porta himenaeos dictum neque venenatis libero risus hac molestie fringilla feugiat fermentum semper convallis ultrices ridiculus interdum sociis libero imperdiet arcu imperdiet luctus dictumst duis mattis penatibus cum magnis velit ad hac hendrerit suscipit sodales rutrum velit sagittis elementum lacinia neque blandit nisi luctus.";"Dolor litora ridiculus litora habitasse justo velit eros. Fermentum luctus sollicitudin quam per proin aliquam sollicitudin nisi potenti! Diam blandit torquent magna lacus luctus donec per habitant mattis arcu. Aliquam himenaeos interdum class risus aenean torquent condimentum proin nec nascetur cum fusce consequat libero habitasse est lacus accumsan enim dictum dignissim mi inceptos integer dis erat suscipit tortor montes primis platea ligula interdum metus montes dui molestie semper velit mauris fusce cras curae suscipit tempor vel accumsan convallis rhoncus nisi suscipit tortor magnis natoque pharetra cum ultrices dictumst habitant!";"Dolor litora ridiculus litora habitasse justo velit eros. Fermentum luctus sollicitudin quam per proin aliquam sollicitudin nisi potenti! Diam blandit torquent magna lacus luctus donec per habitant mattis arcu. Aliquam himenaeos interdum class risus aenean torquent condimentum proin nec nascetur cum fusce consequat libero habitasse est lacus accumsan enim dictum dignissim mi inceptos integer dis erat suscipit tortor montes primis platea ligula interdum metus montes dui molestie semper velit mauris fusce cras curae suscipit tempor vel accumsan convallis rhoncus nisi suscipit tortor magnis natoque pharetra cum ultrices dictumst habitant!";36;5;"BEIDCFH0761J";-134.12473317747936;36.199700341699646;5.0;"Sample U";"//"
"c1366356-1c17-40fa-b812-61cd2d3cc4ea";"2016-04-08 05:00:00.000000";40;"2016-04-10 03:00:00.000000";45;"DRAFT";"integer sapien neque sagittis mollis";"Adipiscing at purus mattis commodo feugiat at porttitor placerat taciti. Ultrices integer maecenas tempus viverra potenti tincidunt varius nisl ut. Neque rutrum litora torquent tellus felis dapibus pellentesque. Eget dictum lectus dis non cubilia dictum in semper sodales habitasse integer porta duis velit elementum sapien curae ornare nascetur integer taciti ornare sollicitudin tincidunt vehicula mattis hendrerit ac interdum penatibus libero suscipit gravida nullam massa vehicula nam natoque bibendum netus vestibulum consequat nascetur interdum primis commodo fringilla rhoncus netus suscipit in!";"f5c616bd-56c5-4beb-a04a-45837fac9033";"SOUTHCOM";"NAVY";"Reconnaissance";"ROUTINE";"2016-05-30 12:00:00.000000";"2016-09-11 12:00:00.000000";"Adipiscing at purus mattis commodo feugiat at porttitor placerat taciti. Ultrices integer maecenas tempus viverra potenti tincidunt varius nisl ut. Neque rutrum litora torquent tellus felis dapibus pellentesque. Eget dictum lectus dis non cubilia dictum in semper sodales habitasse integer porta duis velit elementum sapien curae ornare nascetur integer taciti ornare sollicitudin tincidunt vehicula mattis hendrerit ac interdum penatibus libero suscipit gravida nullam massa vehicula nam natoque bibendum netus vestibulum consequat nascetur interdum primis commodo fringilla rhoncus netus suscipit in!";"Sit iaculis curabitur lacinia diam egestas urna vitae parturient nisl. Diam erat facilisi nascetur posuere tortor rhoncus! Varius tempor auctor sagittis ultrices semper tempus sed scelerisque eget nam facilisi pellentesque malesuada aliquam eros curae sodales facilisi eros aptent eu nulla quam dui imperdiet suscipit euismod aliquam potenti ultrices cum sagittis montes a convallis tristique duis sodales condimentum ullamcorper rutrum?";"Sit iaculis curabitur lacinia diam egestas urna vitae parturient nisl. Diam erat facilisi nascetur posuere tortor rhoncus! Varius tempor auctor sagittis ultrices semper tempus sed scelerisque eget nam facilisi pellentesque malesuada aliquam eros curae sodales facilisi eros aptent eu nulla quam dui imperdiet suscipit euismod aliquam potenti ultrices cum sagittis montes a convallis tristique duis sodales condimentum ullamcorper rutrum?";58;3;"BEXHWLJ5525K";-132.87844672328794;35.93455965379253;4.0;"Sample S";"// NOFORN"
"570dda64-dc19-4589-a763-99b1430d6326";"2016-05-27 19:00:00.000000";66;"2016-05-29 17:00:00.000000";62;"DRAFT";"per himenaeos fames nostra fames";"Ipsum ornare tempus massa class est pharetra laoreet mauris lectus sed. Parturient ridiculus metus non ullamcorper netus velit tincidunt convallis platea. Himenaeos tellus ullamcorper malesuada viverra molestie eu dui cum aptent pellentesque taciti mi senectus tortor nisi ligula libero justo fames aliquet metus volutpat proin purus dictum nec gravida tempus volutpat fermentum tempor scelerisque taciti mollis vitae etiam diam rutrum?";"c21db0aa-be3b-452a-94e8-a83bdc16e9e5";"AFRICOM";"SPACE";"MTI";"ROUTINE";"2016-04-02 14:00:00.000000";"2016-07-15 14:00:00.000000";"Ipsum ornare tempus massa class est pharetra laoreet mauris lectus sed. Parturient ridiculus metus non ullamcorper netus velit tincidunt convallis platea. Himenaeos tellus ullamcorper malesuada viverra molestie eu dui cum aptent pellentesque taciti mi senectus tortor nisi ligula libero justo fames aliquet metus volutpat proin purus dictum nec gravida tempus volutpat fermentum tempor scelerisque taciti mollis vitae etiam diam rutrum?";"Consectetur natoque justo luctus cursus fringilla. Convallis penatibus ac cursus augue vivamus mauris mollis proin tellus proin tempor montes ad. Habitasse etiam faucibus cum luctus interdum quam urna ad. Dui proin congue magnis urna varius. A himenaeos arcu sapien interdum felis penatibus pulvinar pharetra posuere enim scelerisque habitasse aliquam ullamcorper porttitor enim sed duis facilisi ullamcorper natoque ultrices nunc nostra condimentum vulputate quis ut primis blandit nulla nostra accumsan tristique potenti augue parturient luctus eu ullamcorper sollicitudin eleifend arcu augue molestie netus ante quis quam blandit malesuada laoreet consequat hac dictum himenaeos velit quis tempor mauris congue massa gravida velit mattis nam hac.";"Consectetur natoque justo luctus cursus fringilla. Convallis penatibus ac cursus augue vivamus mauris mollis proin tellus proin tempor montes ad. Habitasse etiam faucibus cum luctus interdum quam urna ad. Dui proin congue magnis urna varius. A himenaeos arcu sapien interdum felis penatibus pulvinar pharetra posuere enim scelerisque habitasse aliquam ullamcorper porttitor enim sed duis facilisi ullamcorper natoque ultrices nunc nostra condimentum vulputate quis ut primis blandit nulla nostra accumsan tristique potenti augue parturient luctus eu ullamcorper sollicitudin eleifend arcu augue molestie netus ante quis quam blandit malesuada laoreet consequat hac dictum himenaeos velit quis tempor mauris congue massa gravida velit mattis nam hac.";70;5;"BELVAES7776O";-124.9088837874122;43.72797578903847;6.0;"Sample TS";"//"
"81520ca9-dac6-40b9-843f-42a2c811d91a";"2016-03-22 08:00:00.000000";96;"2016-03-24 06:00:00.000000";71;"APPROVED";"habitasse facilisis interdum volutpat molestie";"Adipiscing iaculis et suspendisse torquent purus placerat fames neque sollicitudin. Interdum tristique sagittis interdum dis venenatis habitant interdum morbi accumsan. Lectus id mus blandit pellentesque dictum integer himenaeos euismod auctor. Non per mattis condimentum congue non iaculis eleifend per facilisi commodo aenean sed rutrum platea conubia massa commodo mus metus ultricies mollis conubia massa tempor vulputate mauris dui ridiculus libero aenean cursus cubilia congue aptent interdum vel ac vestibulum cum sodales nisl fringilla euismod aptent scelerisque curabitur blandit sociis ligula dapibus eleifend maecenas augue!";"f574da80-c274-4911-b787-b9431294ba47";"TRANSCOM";"ARMY";"Surveillance";"ROUTINE";"2016-04-23 20:00:00.000000";"2016-08-05 20:00:00.000000";"Adipiscing iaculis et suspendisse torquent purus placerat fames neque sollicitudin. Interdum tristique sagittis interdum dis venenatis habitant interdum morbi accumsan. Lectus id mus blandit pellentesque dictum integer himenaeos euismod auctor. Non per mattis condimentum congue non iaculis eleifend per facilisi commodo aenean sed rutrum platea conubia massa commodo mus metus ultricies mollis conubia massa tempor vulputate mauris dui ridiculus libero aenean cursus cubilia congue aptent interdum vel ac vestibulum cum sodales nisl fringilla euismod aptent scelerisque curabitur blandit sociis ligula dapibus eleifend maecenas augue!";"Dolor commodo accumsan auctor sollicitudin netus libero faucibus fringilla sagittis. Fusce imperdiet est est in porta hendrerit duis! Vitae nibh odio cras tortor erat nisi leo a urna molestie tortor. Blandit sem lobortis massa interdum laoreet taciti arcu dapibus platea sociis nisi himenaeos ante magnis vulputate id laoreet habitant feugiat donec tortor nulla pulvinar faucibus est tellus malesuada bibendum tristique ultricies nibh euismod enim dictum ac eleifend curabitur litora aenean pellentesque malesuada accumsan quis viverra praesent potenti posuere lacinia convallis non mollis convallis egestas torquent mi cubilia parturient.";"Dolor commodo accumsan auctor sollicitudin netus libero faucibus fringilla sagittis. Fusce imperdiet est est in porta hendrerit duis! Vitae nibh odio cras tortor erat nisi leo a urna molestie tortor. Blandit sem lobortis massa interdum laoreet taciti arcu dapibus platea sociis nisi himenaeos ante magnis vulputate id laoreet habitant feugiat donec tortor nulla pulvinar faucibus est tellus malesuada bibendum tristique ultricies nibh euismod enim dictum ac eleifend curabitur litora aenean pellentesque malesuada accumsan quis viverra praesent potenti posuere lacinia convallis non mollis convallis egestas torquent mi cubilia parturient.";31;5;"BEUWHSI9222W";-131.92089693853632;32.63151937071234;6.0;"Sample S";"// REL NATO"
"8e356284-052f-49d0-ab88-48556e139866";"2016-05-23 15:00:00.000000";42;"2016-05-25 13:00:00.000000";19;"PENDING";"ridiculus tortor fames ultrices mattis";"Amet euismod tellus dui ligula litora viverra. Dignissim parturient imperdiet habitasse class mauris phasellus iaculis quam ac cum. Nunc viverra cum aptent luctus natoque magna montes arcu suscipit libero porta ligula congue dictumst lacus montes vulputate lectus primis molestie consequat dui nunc pulvinar curae etiam bibendum fermentum nunc proin senectus parturient facilisis blandit vitae?";"96155aa8-bad6-4ccb-89e4-0683d68657f0";"STRATCOM";"AF";"Reconnaissance";"ROUTINE";"2016-04-23 15:00:00.000000";"2016-08-05 15:00:00.000000";"Amet euismod tellus dui ligula litora viverra. Dignissim parturient imperdiet habitasse class mauris phasellus iaculis quam ac cum. Nunc viverra cum aptent luctus natoque magna montes arcu suscipit libero porta ligula congue dictumst lacus montes vulputate lectus primis molestie consequat dui nunc pulvinar curae etiam bibendum fermentum nunc proin senectus parturient facilisis blandit vitae?";"Adipiscing inceptos vulputate facilisi fermentum purus eros non nec? Elementum quis senectus placerat cursus nec nisl tempus fames vivamus ultricies etiam. Feugiat quam magnis eu ad etiam varius urna augue aenean class vulputate. Conubia nibh dis ultrices fermentum vestibulum urna varius aptent. Varius bibendum ridiculus tortor ultrices facilisis vulputate massa odio sapien malesuada aliquam tincidunt. Euismod parturient dictumst netus parturient sem curae nullam nam vestibulum justo proin? Faucibus elementum purus ridiculus consequat cras facilisi ridiculus mi eleifend ullamcorper pellentesque lacinia nam cras sodales rutrum at at lectus morbi sed turpis volutpat hendrerit ad at volutpat volutpat nostra lacus tellus facilisi fermentum laoreet dui iaculis porttitor vulputate in felis natoque malesuada eleifend mollis condimentum egestas leo leo non cras volutpat ridiculus velit laoreet platea nibh massa tincidunt dictum convallis aptent sodales imperdiet egestas integer cursus dictumst tellus risus?";"Adipiscing inceptos vulputate facilisi fermentum purus eros non nec? Elementum quis senectus placerat cursus nec nisl tempus fames vivamus ultricies etiam. Feugiat quam magnis eu ad etiam varius urna augue aenean class vulputate. Conubia nibh dis ultrices fermentum vestibulum urna varius aptent. Varius bibendum ridiculus tortor ultrices facilisis vulputate massa odio sapien malesuada aliquam tincidunt. Euismod parturient dictumst netus parturient sem curae nullam nam vestibulum justo proin? Faucibus elementum purus ridiculus consequat cras facilisi ridiculus mi eleifend ullamcorper pellentesque lacinia nam cras sodales rutrum at at lectus morbi sed turpis volutpat hendrerit ad at volutpat volutpat nostra lacus tellus facilisi fermentum laoreet dui iaculis porttitor vulputate in felis natoque malesuada eleifend mollis condimentum egestas leo leo non cras volutpat ridiculus velit laoreet platea nibh massa tincidunt dictum convallis aptent sodales imperdiet egestas integer cursus dictumst tellus risus?";10;1;"BEXUUVO3157L";-122.7307586198207;36.26591182770208;5.0;"Sample TS";"// NOFORN"
"228d69df-1b67-4498-8f49-946770d0edfa";"2016-04-08 20:00:00.000000";7;"2016-04-10 18:00:00.000000";43;"REJECTED";"semper consequat fusce ornare lacinia";"Sit molestie enim pharetra convallis imperdiet ultricies integer tincidunt. Fermentum cursus curae diam nulla platea integer curabitur sem orci nisl est! Eleifend felis lectus tristique ultricies nam erat. Facilisis lectus potenti est a luctus ante senectus molestie cras arcu condimentum massa morbi mus convallis arcu dignissim torquent tristique accumsan cursus aliquam augue et laoreet tristique vivamus pretium libero orci sagittis ornare imperdiet posuere curae ligula vestibulum pharetra ante id sed ligula quisque natoque nisi eros curae hac tincidunt integer fusce felis cras auctor.";"16ec1248-4a25-4710-82db-1bf123308195";"SOCOM";"SPACE";"MTI";"UNKNOWN";"2016-05-21 08:00:00.000000";"2016-09-02 08:00:00.000000";"Sit molestie enim pharetra convallis imperdiet ultricies integer tincidunt. Fermentum cursus curae diam nulla platea integer curabitur sem orci nisl est! Eleifend felis lectus tristique ultricies nam erat. Facilisis lectus potenti est a luctus ante senectus molestie cras arcu condimentum massa morbi mus convallis arcu dignissim torquent tristique accumsan cursus aliquam augue et laoreet tristique vivamus pretium libero orci sagittis ornare imperdiet posuere curae ligula vestibulum pharetra ante id sed ligula quisque natoque nisi eros curae hac tincidunt integer fusce felis cras auctor.";"Amet luctus tellus ligula inceptos morbi vivamus suscipit egestas consequat. Auctor ut quisque eget quam molestie interdum massa urna vel turpis gravida. Sollicitudin ultricies diam potenti mollis sagittis lacinia volutpat lectus hac eget sociis pulvinar rhoncus per euismod suspendisse tristique luctus pretium aliquet himenaeos quisque non hac mi sem tempor justo ac lacinia nunc mollis placerat primis placerat dis primis.";"Amet luctus tellus ligula inceptos morbi vivamus suscipit egestas consequat. Auctor ut quisque eget quam molestie interdum massa urna vel turpis gravida. Sollicitudin ultricies diam potenti mollis sagittis lacinia volutpat lectus hac eget sociis pulvinar rhoncus per euismod suspendisse tristique luctus pretium aliquet himenaeos quisque non hac mi sem tempor justo ac lacinia nunc mollis placerat primis placerat dis primis.";7;1;"BEFBOXM6958Z";-139.6256716122385;42.32414083881304;5.0;"Sample TS";"// REL ROK"
